front,back,romaji
"からだ (体)","body","karada"
"あたま (頭)","head","atama"
"かみ (髪)","hair","kami"
"かお (顔)","face","kao"
"め (目)","eye","me"
"みみ (耳)","ear","mimi"
"はな (鼻)","nose","hana"
"くち (口)","mouth","kuchi"
"は (歯)","tooth","ha"
"くび (首)","neck","kubi"
"かた (肩)","shoulder","kata"
"うで (腕)","arm","ude"
"て (手)","hand","te"
"ゆび (指)","finger, toe","yubi"
"むね (胸)","chest","mune"
"おなか (お腹)","stomach, abdomen","onaka"
"せなか (背中)","back (body)","senaka"
"こし (腰)","lower back, waist","koshi"
"あし (足)","foot, leg","ashi"
"げんき (元気)","healthy, energetic","genki"
"びょうき (病気)","illness, sickness","byouki"
"いたい (痛い)","painful, sore (adj)","itai"
"いたみ (痛み)","pain (noun)","itami"
"かぜ (風邪)","a cold (illness)","kaze"
"ねつ (熱)","fever","netsu"
"けが","injury","kega"
"くすり (薬)","medicine","kusuri"
"びょういん (病院)","hospital","byouin"
"いしゃ (医者)","doctor","isha"
"かんごし (看護師)","nurse","kangoshi"
"しにます (死にます)","die","shinimasu"
"つかれます (疲れます)","get tired","tsukaremasu"
"シャワー","shower","shawā"
"あびます (浴びます)","take (shower), bathe","abimasu"
"はいります (入ります)","take (a bath)","hairimasu"
"せい (背)","height, stature (noun)","sei"
"こえ (声)","voice","koe"
