front,back,romaji
"おおきい (大きい)","big, large","ookii"
"ちいさい (小さい)","small, little","chiisai"
"ながい (長い)","long","nagai"
"みじかい (短い)","short (length)","mijikai"
"たかい (高い)","tall, high / expensive","takai"
"ひくい (低い)","low","hikui"
"ひろい (広い)","spacious, wide","hiroi"
"せまい (狭い)","narrow","semai"
"ふとい (太い)","thick, fat (cylindrical)","futoi"
"ほそい (細い)","thin, slender","hosoi"
"あつい (厚い)","thick (flat)","atsui"
"うすい (薄い)","thin (material), weak (taste)","usui"
"あたらしい (新しい)","new","atarashii"
"ふるい (古い)","old (not people)","furui"
"わかい (若い)","young","wakai"
"いい / よい (良い)","good","ii / yoi"
"わるい (悪い)","bad, wrong","warui"
"ただしい (正しい)","correct","tadashii"
"むずかしい (難しい)","difficult","muzukashii"
"やさしい (易しい / 優しい)","easy / kind","yasashii"
"やすい (安い)","cheap, inexpensive","yasui"
"おもしろい (面白い)","interesting, funny","omoshiroi"
"つまらない","boring, trivial","tsumaranai"
"いそがしい (忙しい)","busy","isogashii"
"ひま (暇な)","free (time)","hima (na)"
"きれい (綺麗な)","pretty, clean","kirei (na)"
"きたない (汚い)","dirty","kitanai"
"おいしい (美味しい)","delicious, tasty","oishii"
"まずい","bad tasting","mazui"
"あまい (甘い)","sweet","amai"
"からい (辛い)","spicy, hot","karai"
"しょっぱい (塩っぱい)","salty","shoppai"
"すっぱい (酸っぱい)","sour","suppai"
"にがい (苦い)","bitter","nigai"
"あかい (赤い)","red","akai"
"あおい (青い)","blue","aoi"
"くろい (黒い)","black","kuroi"
"しろい (白い)","white","shiroi"
"きいろい (黄色い)","yellow","kiiroi"
"ちゃいろい (茶色い)","brown","chairoi"
"みどり (緑の)","green","midori (no)"
"ピンク (の)","pink","pinku (no)"
"いろ (色)","color (noun)","iro"
"いろいろ (色々な)","various","iroiro (na)"
"たのしい (楽しい)","fun, enjoyable","tanoshii"
"うれしい (嬉しい)","happy, pleased","ureshii"
"かなしい (悲しい)","sad","kanashii"
"さびしい (寂しい)","lonely","sabishii"
"こわい (怖い)","scary, afraid","kowai"
"げんき (元気な)","healthy, energetic","genki (na)"
"しんせつ (親切な)","kind","shinsetsu (na)"
"べんり (便利な)","convenient","benri (na)"
"ふべん (不便な)","inconvenient","fuben (na)"
"たいせつ (大切な)","important, precious","taisetsu (na)"
"だいじょうぶ (大丈夫な)","okay, alright","daijoubu (na)"
"じょうず (上手な)","skillful, good at","jouzu (na)"
"へた (下手な)","unskillful, bad at","heta (na)"
"すき (好きな)","like, fond of","suki (na)"
"きらい (嫌いな)","dislike, hate","kirai (na)"
"だいすき (大好きな)","like very much, love","daisuki (na)"
"ゆうめい (有名な)","famous","yuumei (na)"
"りっぱ (立派な)","splendid, magnificent","rippa (na)"
"あかるい (明るい)","bright, light","akarui"
"くらい (暗い)","dark","kurai"
"あたたかい (暖かい/温かい)","warm","atatakai"
"すずしい (涼しい)","cool (weather)","suzushii"
"あつい (暑い/熱い)","hot (weather/object)","atsui"
"さむい (寒い)","cold (weather)","samui"
"つめたい (冷たい)","cold (to touch)","tsumetai"
"ぬるい","lukewarm","nurui"
"しずか (静かな)","quiet","shizuka (na)"
"にぎやか (賑やかな)","lively, bustling","nigiyaka (na)"
"うるさい","noisy, annoying","urusai"
"あぶない (危ない)","dangerous","abunai"
"はやい (速い/早い)","fast / early","hayai"
"おそい (遅い)","slow / late","osoi"
"ちかい (近い)","near, close","chikai"
"とおい (遠い)","far","tooi"
"つよい (強い)","strong","tsuyoi"
"よわい (弱い)","weak","yowai"
"おもい (重い)","heavy","omoi"
"かるい (軽い)","light (weight)","karui"
"まるい (丸い)","round","marui"
"ほしい (欲しい)","want (object)","hoshii"
