front,back,romaji
はい,yes,hai
いいえ,no,iie
ええ,"yes (less formal)",ee
おはようございます,"good morning (polite)",ohayou gozaimasu
こんにちは,"hello, good afternoon",konnichiwa
こんばんは,"good evening",konbanwa
さようなら,"goodbye (long term)",sayounara
"じゃあ、また / またね","see you later (informal)","jaa, mata / mata ne"
おやすみなさい,"good night (polite)",oyasuminasai
ありがとう ございます,"thank you (polite)",arigatou gozaimasu
どうもありがとう,"thank you very much",doumo arigatou
どうも,"thanks (casual), very",doumo
どういたしまして,"you're welcome",douitashimashite
すみません,"excuse me, sorry, thank you",sumimasen
ごめんなさい,"I'm sorry (informal)",gomennasai
おねがいします,"please (request)",onegaishimasu
どうぞ,"please (offering), here you go",douzo
ください,"please give me / do",kudasai
はじめまして,"nice to meet you (first time)",hajimemashite
どうぞ よろしくおねがいします,"pleased to meet you",douzo yoroshiku onegaishimasu
いただきます,"expression before eating/receiving",itadakimasu
ごちそうさまでした,"expression after eating",gochisousama deshita
いってきます,"I'm going (and returning)",ittekimasu
いってらっしゃい,"go and come back safely",itterasshai
ただいま,"I'm home",tadaima
おかえりなさい,"welcome home",okaerinasai
もしもし,"hello (on phone)",moshi moshi
いらっしゃいませ,"welcome (shop/restaurant)",irasshaimase
しつれいします,"excuse me (interrupting/leaving)",shitsurei shimasu
おげんきですか,"how are you?",ogenki desu ka
はい、げんきです,"yes, I'm fine","hai, genki desu"
だいじょうぶ です,"it's okay, I'm okay",daijoubu desu
けっこうです,"no thank you, that's fine",kekkou desu
わかりました,"I understand / understood",wakarimashita
わかりません,"I don't understand",wakarimasen
もう いちど おねがいします,"one more time, please",mou ichido onegaishimasu
ゆっくり おねがいします,"slowly, please",yukkuri onegaishimasu
やあ,"hi (casual, male)",yaa
うーん,"well..., hmm...",uun
ああ,"ah, oh",aa
そう,"so, that's right",sou
