front,back,romaji
"ほん (本)","book","hon"
"ノート","notebook","nooto"
"じしょ (辞書)","dictionary","jisho"
"しんぶん (新聞)","newspaper","shinbun"
"ざっし (雑誌)","magazine","zasshi"
"かみ (紙)","paper","kami"
"てがみ (手紙)","letter","tegami"
"はがき (葉書)","postcard","hagaki"
"ふうとう (封筒)","envelope","fuutou"
"きって (切手)","postage stamp","kitte"
"えんぴつ (鉛筆)","pencil","enpitsu"
"ペン","pen","pen"
"ボールペン","ballpoint pen","boorupen"
"まんねんひつ (万年筆)","fountain pen","mannenhitsu"
"けしゴム (消しゴム)","eraser","keshigomu"
"かばん","bag, briefcase","kaban"
"さいふ (財布)","wallet, purse","saifu"
"はこ (箱)","box","hako"
"ふくろ (袋)","bag, sack","fukuro"
"ポケット","pocket","poketto"
"かさ (傘)","umbrella","kasa"
"かぎ (鍵)","key","kagi"
"とけい (時計)","watch, clock","tokei"
"めがね (眼鏡)","glasses","megane"
"くすり (薬)","medicine","kusuri"
"おかね (お金)","money","okane"
"きっぷ (切符)","ticket","kippu"
"しゃしん (写真)","photograph","shashin"
"ちず (地図)","map","chizu"
"カレンダー","calendar","karendaa"
"マッチ","match (fire)","macchi"
"たばこ","cigarette, tobacco","tabako"
"はんこ / いんかん (判子/印鑑)","seal, stamp","hanko / inkan"
"にもつ (荷物)","luggage, baggage","nimotsu"
"もの (物)","thing (tangible)","mono"
"こと (事)","thing (intangible)","koto"
"じかん (時間)","time","jikan"
"しごと (仕事)","work, job","shigoto"
"やくそく (約束)","promise, appointment","yakusoku"
"はなし (話)","story, talk","hanashi"
