front,back,romaji
"ことば (言葉)","word, language","kotoba"
"～ご (～語)","language suffix","-go"
"にほんご (日本語)","Japanese language","nihongo"
"えいご (英語)","English language","eigo"
"かんじ (漢字)","kanji","kanji"
"ひらがな","hiragana","hiragana"
"カタカナ","katakana","katakana"
"ローマじ","romaji","roomaji"
"ほんやく (翻訳)","translation","honyaku"
"いみ (意味)","meaning","imi"
"でんわ (電話)","telephone","denwa"
"でんわばんごう (電話番号)","telephone number","denwabangou"
"でんわします (電話します)","make phone call","denwa shimasu"
"てがみ (手紙)","letter","tegami"
"はがき (葉書)","postcard","hagaki"
"ふうとう (封筒)","envelope","fuutou"
"きって (切手)","postage stamp","kitte"
"だします (出します)","send (letter)","dashimasu"
"メール","email","meeru"
"パソコン","PC","pasokon"
"スマホ","smartphone","sumaho"
"インターネット","internet","intaanetto"
"コピー","copy","kopii"
"コピーします","make a copy","kopiishimasu"
"ファックス","fax","fakkusu"
"はなします (話します)","speak, talk","hanashimasu"
"ききます (聞きます/訊きます)","listen / ask","kikimasu"
"いいます (言います)","say, tell","iimasu"
"はなし (話)","story, talk","hanashi"
"しつもん (質問)","question (noun)","shitsumon"
"こたえ (答え)","answer (noun)","kotae"
